1,2106,353,435
2,2129,343,438
3,2123,336,436
4,2049,350,428
5,1963,374,428
6,1920,382,402
7,1879,373,363
8,1825,345,335
9,1775,328,317
10,1782,338,281
11,1769,342,255
12,1758,351,251
13,1769,344,236
14,1763,353,183
15,1736,384,144
16,1725,392,111
17,1735,390,89
18,1747,389,90
19,1790,382,62
20,1813,366,45
21,1808,352,23
22,1756,345,-24
23,1683,332,-55
24,1661,318,-86
25,1728,307,-98
26,1858,303,-78
27,2002,308,-35
28,2087,327,15
29,2135,361,87
30,2165,397,126
31,2143,417,129
32,2080,461,123
33,2029,489,148
34,2014,524,180
35,2014,524,180
36,2016,541,187
37,2001,551,186
38,1975,558,164
39,1927,533,127
40,1862,512,54
41,1790,495,-6
42,1755,475,-39
43,1789,460,-55
44,1825,453,-73
45,1831,461,-90
46,1822,472,-97
47,1814,474,-109
48,1822,456,-114
49,1838,464,-119
50,1856,471,-109
51,1887,471,-101
52,1919,482,-113
53,1924,494,-107
54,1940,510,-97
55,1979,525,-88
56,2024,537,-86
57,2033,552,-94
58,2030,564,-107
59,2018,578,-121
60,2006,578,-138
61,1995,581,-149
62,2000,583,-166
63,1998,591,-187
64,2011,591,-183
65,2046,586,-185
66,2081,577,-204
67,2104,564,-212
68,2118,555,-212
69,2132,529,-220
70,2128,514,-246
71,2126,497,-262
72,2123,477,-271
73,2141,460,-270
74,2174,443,-274
75,2198,429,-275
76,2204,434,-289
77,2207,445,-304
78,2215,446,-313
79,2223,457,-316
80,2225,481,-307
81,2251,503,-299
82,2310,532,-300
83,2373,541,-293
84,2420,520,-286
85,2431,504,-288
86,2415,488,-285
87,2414,474,-280
88,2435,461,-270
89,2449,452,-268
90,2461,434,-258
91,2472,425,-249
92,2502,415,-231
93,2536,399,-238
94,2545,367,-244
95,2543,332,-243
96,2519,314,-257
97,2470,284,-268
98,2389,261,-277
99,2300,240,-285
100,2198,217,-315
101,2110,206,-344
102,2050,188,-365
103,1990,178,-368
104,1990,178,-368
105,1943,178,-374
106,1910,186,-374
107,1887,195,-364
108,1855,209,-351
109,1813,228,-335
110,1796,234,-322
111,1786,256,-342
112,1781,272,-322
113,1786,287,-329
114,1822,297,-334
115,1849,301,-326
116,1880,288,-309
117,1912,274,-302
118,1920,271,-314
119,1896,264,-313
120,1870,255,-297
121,1898,234,-275
122,1957,221,-271
123,2031,189,-270
124,2102,160,-257
125,2126,141,-243
126,2125,133,-239
127,2110,115,-223
128,2090,103,-217
129,2077,91,-213
130,2040,83,-205
131,2001,97,-220
132,1940,108,-226
133,1888,125,-201
134,1871,147,-198
135,1850,164,-213
136,1794,184,-225
137,1748,206,-237
138,1746,223,-219
139,1753,239,-189
140,1775,265,-157
141,1784,289,-123
142,1804,312,-106
143,1813,326,-103
144,1823,336,-106
145,1807,345,-123
146,1800,347,-135
147,1782,333,-164
148,1768,319,-225
149,1746,313,-242
150,1767,327,-237
151,1832,344,-240
152,1867,358,-239
153,1865,376,-237
154,1854,394,-234
155,1836,431,-226
156,1819,443,-223
157,1801,451,-240
158,1795,467,-234
159,1798,480,-221
160,1835,493,-204
161,1858,495,-211
162,1843,476,-214
163,1789,464,-236
164,1752,466,-247
165,1750,463,-257
166,1800,466,-262
167,1847,467,-257
168,1876,460,-263
169,1878,461,-284
170,1855,465,-310
171,1846,483,-324
172,1858,493,-342
173,1861,507,-335
174,1861,507,-335
175,1876,526,-334
176,1891,548,-344
177,1884,580,-343
178,1872,599,-325
179,1877,617,-330
180,1882,629,-341
181,1885,635,-348
182,1892,642,-380
183,1877,662,-386
184,1860,661,-397
185,1851,682,-399
186,1820,707,-400
187,1822,724,-418
188,1845,722,-413
189,1842,725,-426
190,1826,725,-428
191,1826,716,-419
192,1831,722,-421
193,1829,729,-416
194,1815,727,-418
195,1819,729,-413
196,1808,744,-396
197,1799,757,-373
198,1830,771,-357
199,1861,786,-328
200,1871,794,-313
201,1869,796,-292
202,1849,800,-275
203,1821,783,-264
204,1810,765,-271
205,1857,756,-258
206,1939,759,-240
207,1997,755,-237
208,1985,729,-212
209,1967,698,-186
210,1965,688,-153
211,1993,681,-135
212,2018,685,-145
213,2027,696,-130
214,2017,744,-103
215,2029,812,-48
216,2088,852,5
217,2167,870,48
218,2218,883,65
219,2246,871,77
220,2270,825,75
221,2261,801,37
222,2262,823,81
223,2398,832,144
224,2547,833,180
225,2499,830,246
226,2389,804,287
227,2441,771,295
228,2571,757,288
229,2639,764,290
230,2625,756,321
231,2557,748,331
232,2505,744,334
233,2455,721,324
234,2388,714,293
235,2282,703,249
236,2214,699,235
237,2237,696,239
238,2259,703,210
239,2201,699,176
240,2120,710,134
241,2061,733,111
242,2083,739,135
243,2083,739,135
244,2121,744,165
245,2138,770,212
246,2153,767,251
247,2165,763,288
248,2140,764,315
249,2090,748,354
250,2025,746,376
251,2011,729,404
252,2043,699,423
253,2050,665,432
254,2035,630,437
255,1966,601,420
256,1902,561,412
257,1885,521,387
258,1899,483,346
259,1899,448,325
260,1883,436,290
261,1814,435,264
262,1691,430,269
263,1587,420,301
264,1563,385,330
265,1592,366,350
266,1621,346,389
267,1631,329,405
268,1638,334,418
269,1635,331,424
270,1622,322,397
271,1572,303,373
272,1484,284,354
273,1434,288,370
274,1476,292,357
275,1562,304,331
276,1583,305,311
277,1539,311,284
278,1491,313,244
279,1434,299,215
280,1409,296,211
281,1393,286,204
282,1408,269,214
283,1460,260,262
284,1536,251,340
285,1608,238,427
286,1684,238,525
287,1709,220,614
288,1654,200,665
289,1603,169,692
290,1611,148,699
291,1687,127,711
292,1764,95,718
293,1779,65,731
294,1738,35,754
295,1700,5,808
296,1738,-10,925
297,1872,-6,1028
298,2015,3,1090
299,2062,27,1134
300,2041,37,1157
301,2001,40,1162
302,1963,16,1155
303,1976,-4,1135
304,2007,-28,1088
305,2044,-49,1042
306,2049,-69,1003
307,2028,-81,968
308,2020,-92,955
309,2016,-91,924
310,1991,-85,866
311,2005,-83,854
312,2072,-66,877
313,2072,-66,877
314,2104,-22,916
315,2091,24,950
316,2077,56,972
317,2089,68,1007
318,2117,90,1062
319,2169,118,1108
320,2206,130,1142
321,2207,124,1172
322,2202,107,1170
323,2255,122,1176
324,2298,135,1169
325,2258,112,1137
326,2241,106,1109
327,2254,103,1067
328,2258,90,1015
329,2267,97,980
330,2264,106,950
331,2256,109,918
332,2276,128,896
333,2303,119,891
334,2322,133,915
335,2361,142,942
336,2404,155,977
337,2445,165,1003
338,2487,164,1007
339,2518,169,1009
340,2547,158,1017
341,2564,146,1006
342,2571,138,989
343,2569,141,1002
344,2564,129,1014
345,2574,128,1007
346,2605,137,993
347,2636,138,956
348,2614,126,929
349,2577,107,897
350,2527,87,864
351,2467,92,830
352,2405,87,779
353,2358,81,740
354,2318,86,679
355,2273,86,627
356,2218,62,595
357,2165,50,585
358,2086,56,586
359,1986,103,575
360,1938,123,533
361,1900,123,484
362,1853,129,465
363,1863,150,472
364,1893,175,493
365,1933,181,510
366,1972,183,505
367,2047,203,492
368,2118,197,497
369,2141,192,530
370,2133,182,575
371,2109,160,599
372,2074,127,615
373,2064,114,621
374,2116,121,619
375,2149,120,599
376,2132,114,570
377,2081,102,550
378,1994,104,518
379,1882,88,508
380,1800,65,508
381,1744,41,473
382,1744,41,473
383,1711,42,443
384,1686,48,414
385,1680,58,408
386,1662,73,408
387,1642,108,416
388,1583,135,434
389,1538,148,448
390,1503,172,474
391,1498,204,480
392,1496,244,468
393,1438,270,470
394,1382,299,474
395,1354,298,469
396,1361,289,461
397,1376,292,437
398,1341,305,430
399,1313,300,435
400,1358,282,428
401,1438,265,401
402,1474,288,374
403,1482,325,363
404,1467,370,384
405,1441,390,443
406,1439,392,514
407,1477,400,572
408,1524,409,629
409,1573,434,675
410,1600,446,722
411,1602,464,729
412,1629,472,713
413,1662,484,709
414,1710,483,704
415,1757,478,690
416,1783,492,688
417,1819,508,697
418,1850,507,715
419,1887,517,716
420,1919,519,729
421,1928,521,729
422,1929,528,739
423,1927,513,762
424,1924,521,773
425,1930,525,802
426,1940,532,793
427,1924,537,776
428,1924,541,747
429,1952,565,736
430,2013,577,725
431,2055,578,683
432,2055,583,658
433,2030,597,643
434,2010,601,642
435,1999,606,662
436,2011,612,671
437,2030,633,707
438,2059,642,754
439,2079,654,806
440,2114,671,868
441,2142,689,909
442,2162,688,958
443,2207,674,1006
444,2229,654,1046
445,2246,638,1047
446,2258,630,1036
447,2258,622,1029
448,2244,598,1024
449,2218,583,1022
450,2164,583,1031
451,2126,606,1027
452,2126,606,1027
453,2106,628,1018
454,2092,624,997
455,2100,616,1001
456,2111,597,1016
457,2111,591,1027
458,2102,588,1055
459,2125,582,1101
460,2178,582,1154
461,2247,569,1203
462,2320,544,1239
463,2365,503,1293
464,2382,464,1333
465,2415,419,1343
466,2426,368,1347
467,2406,333,1366
468,2396,299,1338
469,2286,272,1222
470,2125,299,1184
471,2098,332,1169
472,2123,353,1118
473,2073,366,1081
474,2000,399,1033
475,1927,435,1006
476,1880,449,991
477,1869,431,952
478,1844,417,933
479,1834,406,948
480,1864,409,990
481,1919,419,1042
482,1963,419,1107
483,1996,429,1173
484,2023,440,1260
485,2032,442,1353
486,2098,439,1424
487,2206,427,1472
488,2286,393,1486
489,2197,319,1581
490,2476,274,1575
491,2949,285,1312
492,2848,291,1164
493,2491,274,1141
494,2287,239,1147
495,2077,179,1064
496,1894,132,1000
497,1800,44,882
498,1709,-56,717
499,1767,-94,561
500,1931,-84,516
501,2028,-117,566
502,2029,-199,551
503,1950,-203,462
504,1862,-141,406
505,1793,-62,365
506,1724,-14,331
507,1669,13,341
508,1637,31,359
509,1618,61,375
510,1615,77,395
511,1636,72,424
512,1692,81,417
513,1751,102,411
514,1767,130,413
515,1735,133,434
516,1713,144,432
517,1737,157,420
518,1802,169,416
519,1801,142,423
520,1739,131,433
521,1739,131,433
522,1686,132,478
523,1639,130,484
524,1598,151,482
525,1576,161,477
526,1555,158,450
527,1542,158,444
528,1545,143,429
529,1581,117,409
530,1618,95,397
531,1564,43,379
532,1501,-3,319
533,1513,-7,251
534,1572,-32,157
535,1654,-56,70
536,1754,-107,42
537,1841,-170,25
538,1905,-194,42
539,1937,-206,95
540,1988,-214,185
541,2097,-213,246
542,2159,-215,273
543,2107,-212,283
544,1998,-213,315
545,1915,-228,342
546,1898,-230,355
547,1955,-228,391
548,2028,-251,421
549,2081,-298,415
550,2097,-349,397
551,2032,-422,354
552,1939,-479,299
553,1927,-522,265
554,1953,-597,239
555,1966,-655,228
556,1985,-674,245
557,2009,-694,255
558,1976,-747,274
559,1938,-796,327
560,1976,-859,323
561,2015,-933,262
562,1970,-982,207
563,1906,-1016,201
564,1908,-1043,231
565,1958,-1064,268
566,2049,-1069,313
567,2172,-1081,347
568,2262,-1090,354
569,2294,-1097,346
570,2230,-1110,333
571,2167,-1137,319
572,2201,-1171,336
573,2326,-1186,329
574,2326,-1186,329
575,2167,-1192,342
576,2068,-1186,341
577,1945,-1159,360
578,1791,-1142,368
579,1682,-1161,358
580,1661,-1172,338
581,1635,-1159,369
582,1525,-1150,385
583,1338,-1138,370
584,1123,-1140,353
585,951,-1145,317
586,826,-1137,288
587,706,-1145,255
588,564,-1162,243
589,429,-1186,236
590,301,-1212,250
591,301,-1212,250
592,220,-1230,257
593,191,-1273,265
594,191,-1317,291
595,234,-1356,326
596,310,-1419,351
597,399,-1481,398
598,479,-1545,448
599,558,-1613,469
600,652,-1698,511
601,752,-1795,523
602,848,-1887,495
603,903,-1995,474
604,943,-2110,445
605,956,-2232,416
606,971,-2366,416
607,995,-2496,391
608,1014,-2614,390
609,1042,-2741,396
610,1120,-2861,410
611,1206,-2963,382
612,1208,-3038,354
613,1176,-3108,366
614,1174,-3158,338
615,1155,-3188,330
616,1091,-3246,327
617,992,-3297,351
618,1018,-3314,325
619,1060,-3358,298
620,946,-3416,337
621,781,-3481,373
622,741,-3555,394
623,809,-3631,401
624,818,-3683,424
625,715,-3730,451
626,605,-3812,493
627,576,-3901,534
628,597,-4015,559
629,632,-4111,575
630,642,-4191,573
631,626,-4252,575
632,614,-4322,571
633,627,-4390,553
634,675,-4450,537
635,699,-4483,514
636,720,-4509,491
637,743,-4531,463
638,773,-4525,442
639,812,-4504,435
640,863,-4459,428
641,927,-4381,427
642,1010,-4271,454
643,1034,-4115,507
644,935,-3950,587
645,847,-3827,652
646,808,-3702,707
647,775,-3564,779
648,751,-3419,851
649,729,-3267,899
650,757,-3139,910
651,859,-3010,887
652,1009,-2879,831
653,1154,-2758,729
654,1249,-2636,606
655,1321,-2527,486
656,1371,-2432,368
657,1379,-2340,242
658,1365,-2262,120
659,1350,-2219,28
660,1350,-2219,28
661,1354,-2191,-48
662,1372,-2185,-126
663,1403,-2175,-201
664,1441,-2175,-274
665,1454,-2178,-340
666,1487,-2171,-396
667,1515,-2168,-449
668,1527,-2155,-492
669,1512,-2150,-517
670,1513,-2124,-529
671,1518,-2123,-538
672,1553,-2126,-534
673,1587,-2114,-519
674,1597,-2098,-479
675,1608,-2088,-438
676,1603,-2080,-390
677,1608,-2079,-336
678,1627,-2089,-292
679,1626,-2099,-247
680,1607,-2110,-202
681,1573,-2095,-165
682,1511,-2095,-124
683,1447,-2096,-89
684,1390,-2111,-40
685,1341,-2146,-8
686,1305,-2188,48
687,1270,-2264,88
688,1242,-2362,125
689,1194,-2462,166
690,1121,-2553,207
691,1062,-2642,218
692,1018,-2717,224
693,991,-2772,228
694,970,-2833,220
695,926,-2898,218
696,883,-2950,214
697,859,-3019,205
698,819,-3083,197
699,764,-3127,170
700,709,-3151,149
701,670,-3161,110
702,658,-3152,49
703,633,-3129,-2
704,579,-3071,-65
705,556,-3009,-87
706,555,-2980,-82
707,554,-2956,-35
708,553,-2949,0
709,545,-2965,44
710,546,-3022,61
711,569,-3109,79
712,576,-3196,111
713,594,-3287,157
714,626,-3402,192
715,660,-3513,246
716,720,-3625,306
717,765,-3721,377
718,762,-3812,440
719,755,-3924,512
720,762,-4040,554
721,762,-4137,570
722,767,-4244,559
723,771,-4340,536
724,754,-4436,535
725,711,-4470,532
726,682,-4468,520
727,634,-4434,505
728,594,-4368,510
729,575,-4332,515
730,575,-4332,515
731,556,-4314,505
732,540,-4270,499
733,545,-4221,487
734,569,-4161,471
735,577,-4107,468
736,580,-4078,467
737,598,-4036,457
738,600,-3975,450
739,580,-3923,445
740,558,-3875,450
741,537,-3802,462
742,509,-3742,478
743,472,-3698,481
744,449,-3651,487
745,437,-3599,489
746,415,-3536,501
747,405,-3482,515
748,415,-3426,522
749,414,-3376,529
750,412,-3322,538
751,416,-3278,540
752,410,-3247,534
753,392,-3204,529
754,376,-3166,523
755,362,-3136,515
756,357,-3103,510
757,354,-3066,522
758,353,-3022,519
759,348,-2987,522
760,352,-2943,526
761,363,-2897,525
762,377,-2848,512
763,380,-2800,518
764,386,-2757,516
765,394,-2704,508
766,388,-2647,490
767,389,-2607,471
768,403,-2562,463
769,406,-2518,448
770,403,-2458,442
771,405,-2409,431
772,394,-2361,419
773,396,-2316,416
774,393,-2276,395
775,398,-2243,383
776,397,-2225,378
777,383,-2202,358
778,384,-2186,339
779,367,-2183,327
780,321,-2162,301
781,236,-2151,279
782,130,-2128,250
783,25,-2093,242
784,-75,-2046,229
785,-148,-1979,238
786,-206,-1901,258
787,-246,-1832,269
788,-282,-1777,289
789,-330,-1721,318
790,-377,-1645,381
791,-387,-1563,376
792,-375,-1516,347
793,-388,-1489,333
794,-426,-1457,343
795,-445,-1419,338
796,-424,-1390,317
797,-351,-1359,288
798,-289,-1340,255
799,-289,-1340,255
800,-277,-1324,231
801,-285,-1329,192
802,-304,-1351,134
803,-310,-1383,80
804,-306,-1444,48
805,-299,-1518,14
806,-279,-1585,-6
807,-248,-1660,-20
808,-216,-1709,-47
809,-192,-1779,-78
810,-174,-1847,-107
811,-165,-1922,-135
812,-162,-2000,-156
813,-160,-2078,-163
814,-150,-2157,-182
815,-132,-2217,-185
816,-110,-2260,-182
817,-81,-2293,-183
818,-40,-2306,-177
819,5,-2319,-168
820,58,-2314,-175
821,111,-2308,-182
822,157,-2330,-194
823,198,-2347,-203
824,229,-2374,-205
825,240,-2420,-221
826,251,-2456,-225
827,258,-2502,-209
828,279,-2568,-192
829,302,-2623,-168
830,313,-2680,-147
831,326,-2756,-125
832,330,-2855,-114
833,336,-2947,-97
834,333,-3034,-53
835,322,-3127,-31
836,318,-3220,8
837,313,-3317,51
838,306,-3419,102
839,301,-3513,148
840,312,-3610,195
841,338,-3706,248
842,367,-3813,298
843,387,-3901,353
844,440,-4000,382
845,481,-4073,409
846,524,-4134,426
847,568,-4182,434
848,609,-4212,427
849,645,-4224,417
850,677,-4216,400
851,683,-4210,369
852,699,-4171,328
853,694,-4127,290
854,672,-4067,235
855,675,-4017,200
856,674,-3977,179
857,674,-3948,163
858,655,-3918,167
859,639,-3889,173
860,620,-3861,191
861,617,-3831,213
862,604,-3801,225
863,616,-3807,237
864,636,-3814,256
865,635,-3812,254
866,642,-3804,230
867,678,-3793,216
868,730,-3792,208
869,730,-3792,208
870,723,-3777,186
871,716,-3755,162
872,741,-3735,147
873,770,-3701,127
874,793,-3669,132
875,822,-3641,140
876,857,-3601,135
877,872,-3547,138
878,906,-3492,151
879,947,-3442,145
880,995,-3387,125
881,1024,-3327,126
882,1050,-3269,111
883,1089,-3212,104
884,1115,-3134,92
885,1115,-3056,85
886,1113,-2963,98
887,1103,-2876,115
888,1113,-2796,137
889,1139,-2714,149
890,1174,-2633,147
891,1210,-2575,142
892,1264,-2514,137
893,1320,-2450,111
894,1358,-2407,90
895,1403,-2358,42
896,1451,-2300,8
897,1502,-2239,-1
898,1572,-2177,-29
899,1638,-2122,-63
900,1665,-2073,-87
901,1672,-2035,-113
902,1666,-2008,-154
903,1661,-2014,-168
904,1645,-2033,-173
905,1587,-2063,-173
906,1520,-2085,-149
907,1460,-2097,-113
908,1411,-2116,-86
909,1381,-2151,-47
910,1333,-2180,-8
911,1272,-2215,26
912,1227,-2256,55
913,1184,-2285,104
914,1163,-2305,139
915,1127,-2332,158
916,1105,-2348,179
917,1091,-2381,209
918,1065,-2427,225
919,1038,-2495,229
920,1007,-2578,242
921,959,-2659,239
922,924,-2717,233
923,905,-2738,219
924,876,-2770,221
925,861,-2795,214
926,870,-2805,198
927,875,-2841,171
928,847,-2873,156
929,818,-2880,123
930,780,-2877,86
931,751,-2871,55
932,720,-2870,16
933,698,-2837,-26
934,654,-2792,-72
935,636,-2757,-106
936,635,-2720,-124
937,624,-2686,-139
938,615,-2648,-147
939,615,-2648,-147
940,613,-2641,-102
941,628,-2673,-60
942,663,-2699,-8
943,683,-2743,60
944,705,-2819,113
945,715,-2934,177
946,720,-3054,248
947,727,-3167,317
948,752,-3273,370
949,762,-3395,419
950,749,-3533,482
951,735,-3658,522
952,719,-3774,548
953,699,-3914,568
954,688,-4041,593
955,685,-4133,606
956,666,-4207,623
957,654,-4266,628
958,641,-4304,619
959,567,-4289,604
960,533,-4243,595
961,553,-4202,585
962,542,-4238,546
963,486,-4256,539
964,487,-4232,532
965,496,-4204,527
966,442,-4104,525
967,424,-4003,534
968,445,-3947,521
969,435,-3905,516
970,402,-3857,498
971,390,-3799,487
972,394,-3738,476
973,377,-3669,467
974,365,-3628,459
975,356,-3568,437
976,357,-3521,423
977,335,-3453,420
978,322,-3391,415
979,319,-3337,402
980,325,-3284,390
981,326,-3241,393
982,311,-3206,386
983,324,-3158,390
984,349,-3107,395
985,365,-3075,410
986,369,-3046,424
987,381,-3005,436
988,379,-2960,453
989,371,-2923,467
990,363,-2887,469
991,373,-2849,451
992,397,-2827,466
993,417,-2783,470
994,424,-2748,474
995,435,-2714,482
996,457,-2671,490
997,471,-2627,488
998,471,-2591,489
999,471,-2558,495
1000,465,-2512,481
